round,time,inoc,nutrient,replicate,high_N,high_P,material,shoot_mass_g,root_mass_g,leaf_area_mm2,leaf_perim_mm,leaves,mass_saved_g,aphid_mass_g,trans_N,trans_P,trans_NP,trans_L,exp_notes,ext_group,ext_date,extractors,mass_ext_mg,ext_group_notes,ext_sample_notes,RT_date,PCR_date,gel_date,molc_notes,RTPCR_PAV,RTPCR_RPV
1,1,coinfection,low,1,0,0,shoot,0.1597,0.0128,798.214,583.878,2,0.0927,0.067,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",7,10/18/14,AK,47.5,NA,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,low,2,0,0,shoot,0.1532,0.0133,746.368,526.766,2,0.092,0.0612,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",18,11/5/14,"AK, EB",45.4,NA,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,N,1,1,0,shoot,0.2075,0.0193,1071.933,708.898,2,0.1387,0.0688,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",10,10/21/14,AK,47.3,extra incubation times (see notebook),NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,N,2,1,0,shoot,0.1319,0.011,642.632,453.558,2,0.082,0.0499,0,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",12,10/23/14,"TP, AK",50.2,extra incubation before heating,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,N+P,1,1,1,shoot,0.1049,0.0067,497.974,329.764,1,0.077,0.0279,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",17,11/4/14,"AK, TP",47.3,NA,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,N+P,2,1,1,shoot,0.1795,0.0111,883.895,456.198,2,0.1146,0.0649,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, 4 aphids for transmission to NP",9,10/20/14,AK,47.9,NA,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,P,1,0,1,shoot,0.1564,0.0115,707.601,493.881,2,0.088,0.0684,1,1,1,0,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",15,10/29/14,"AK,TP",48.7,4 min incubation after Trizol transfer,NA,NA,NA,NA,NA,NA,NA
1,1,coinfection,P,2,0,1,shoot,0.1427,0.0117,737.51,537.046,2,0.0845,0.0582,1,1,0,0,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",15,10/29/14,"AK,TP",47.7,4 min incubation after Trizol transfer,NA,NA,NA,NA,NA,NA,NA
1,1,healthy,low,1,0,0,shoot,0.1649,0.0206,972.532,678.657,2,0.1649,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",8,10/19/14,AK,48.4,NA,centrifuged after Trizol transfer,3/24/15,4/21/15,4/21/15,NA,0,0
1,1,healthy,low,2,0,0,shoot,0.0616,0.0106,289.392,273.404,1,0.0616,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, leaf broken when IAP stopped",15,10/29/14,"AK,TP",47.3,4 min incubation after Trizol transfer,used all tissue,3/3/15,3/5/15,3/10/15,NA,0,0
1,1,healthy,N,1,1,0,shoot,0.1295,0.0117,NA,525.56,2,0.1295,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",13,10/24/14,AK,47.6,frozen after chloroform transfer,NA,3/3/15,3/5/15,3/10/15,NA,0,0.5
1,1,healthy,N,2,1,0,shoot,0.1301,0.0131,668.186,448.841,2,0.1301,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",3,10/1/14,"AK,EB,TP",49.3,Frozen after chloroform transfer,NA,2/10/16,2/10/16,2/10/16,NA,0,0
1,1,healthy,N+P,1,1,1,shoot,0.1808,0.0181,920.963,639.304,2,0.1808,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",6,10/17/14,AK,49.5,NA,NA,3/24/15,4/21/15,4/21/15,NA,0,0
1,1,healthy,N+P,2,1,1,shoot,0.1683,0.0145,798.999,658.247,2,0.1683,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",2,9/25/14,"AK, EB, TP",49.7,15 min isopropanol incubation,NA,2/10/16,2/10/16,2/10/16,NA,0,0
